model_type,hidden_dim,best_val_acc,best_val_loss,epochs_completed,train_samples,val_samples,samples,path_validity,exact_match,step_accuracy,optimality_gap_mean,optimality_gap_p95,success_under_1_5x,path_length_ratio_mean,astar_ms_per_query,policy_ms_per_query,speedup_astar_over_policy,speedup_policy_over_astar
mlp,256.0,0.19424460431654678,2.035143014338377,3.0,1384.0,278.0,55.0,0.41818181818181815,0.05454545454545454,0.23893805309734514,1.680193236714976,8.839999999999998,0.5217391304347826,2.6801932367149757,0.12357999803498389,2.851692726306448,0.04333566407592813,23.07568191981336
cnn_small,256.0,0.1366906474820144,2.0772884217955228,3.0,1384.0,278.0,55.0,0.3090909090909091,0.05454545454545454,0.07964601769911504,1.1622082166199814,3.3999999999999986,0.4117647058823529,2.1622082166199816,0.1353600004222244,5.275758181232959,0.02565697588333937,38.97575476341936
sklearn_mlp,0.0,0.4064748201438849,nan,nan,1384.0,278.0,339.0,nan,nan,0.4778761061946903,nan,nan,nan,nan,nan,nan,nan,nan
