enable_astar_fallback,enable_confidence_fallback,fallback_confidence_threshold,fallback_min_step,fallback_no_progress_patience,fallback_max_calls,model_type,samples,path_validity,exact_match,step_accuracy,optimality_gap_mean,optimality_gap_p95,success_under_1_5x,path_length_ratio_mean,astar_ms_per_query,policy_ms_per_query,speedup_astar_over_policy,speedup_policy_over_astar,stage,score
False,True,0.28,4,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1888933329610154,42.166100834098565,0.004479743899114868,223.22704657236886,coarse,-999999041.6666666
True,True,0.28,4,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17852833140447427,42.082984166578775,0.004242292578344691,235.72160135880873,coarse,1110.6251745833774
False,True,0.28,4,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.17606916541505294,43.05704583457555,0.0040892068185891745,244.54620281226374,coarse,-999999041.6666666
True,True,0.28,4,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17838999895805802,42.2407408329794,0.004223174012582191,236.78872739334892,coarse,1110.546296250177
False,True,0.28,8,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.167939999664668,40.03526750020683,0.004194801487558448,238.3903035616692,coarse,-999999041.6666666
True,True,0.28,8,1,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17346500026178546,40.035473333167225,0.004332782550570698,230.79856612427588,coarse,1111.648930000083
False,True,0.28,8,3,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.16552500092075206,38.464856665814295,0.004303278765831531,232.38094820630755,coarse,-999999041.6666666
True,True,0.28,8,3,1,cnn_large,120.0,1.0,0.825,nan,0.058182488807488796,0.30897435897435893,0.9833333333333333,1.0581824888074889,0.17867999874094193,39.15855416780687,0.004562987641863417,219.15465885233553,coarse,1112.0873895827633
False,True,0.36,4,1,0,cnn_large,120.0,0.9583333333333334,0.825,nan,0.030111748155226416,0.17499999999999968,0.991304347826087,1.0301117481552264,0.1740683316408346,39.271213334238084,0.004432466350334927,225.60802969760567,coarse,-999999041.6666666
True,True,0.36,4,1,1,cnn_large,120.0,1.0,0.825,nan,0.05754146316646316,0.3016666666666666,0.9833333333333333,1.0575414631664632,0.16585083261209851,39.49568166766161,0.0041992143345608935,238.13978528547025,coarse,1111.9188258328359
