window_id,start,end,density_mean,psi_density,js_action,alert
1.0,0.0,2500.0,0.27120399475097656,0.6175335107557212,0.0009734370960068125,psi
2.0,1000.0,3500.0,0.2797960340976715,0.8030817702069423,0.0007853878675325833,psi
3.0,2000.0,4500.0,0.260204017162323,0.11830729565119796,0.00041261245814864134,none
4.0,3000.0,5500.0,0.2714399993419647,0.18935737095218166,0.0006386122330125006,none
5.0,4000.0,6500.0,0.3226320147514343,1.4126257165215574,0.0011176581240840977,psi
6.0,5000.0,7500.0,0.342227965593338,2.0117088192943022,0.0009655991017548677,psi
7.0,6000.0,8500.0,0.34379199147224426,1.7948715250925238,0.0009260862747318063,psi
8.0,7000.0,9500.0,0.3429439961910248,1.3516614288166893,0.0005968343221984833,psi
9.0,8000.0,10500.0,0.3932240307331085,2.370692383348519,0.0007727582362038795,psi
10.0,9000.0,11500.0,0.4424400329589844,5.977985088117177,0.0011566621130213372,psi
