metric,value
astar_mean_ms,0.1574926671552627
astar_p50_ms,0.139000010676682
astar_p90_ms,0.23391000286210328
astar_p99_ms,0.44279602385358874
policy_mean_ms,38.58082116639707
policy_p50_ms,35.202249986468814
policy_p90_ms,54.87783000571654
policy_p99_ms,117.27116099587874
astar_qps,6349.501967695799
policy_qps,25.919614196054876
model_file_size_mb,13.487519264221191
model_parameter_count,3534280.0
model_parameter_memory_mb_fp32,13.482208251953125
